Image_name,Genotype,Plant_number,laser,Count_Small,Total_area_Small,Avg_area_Small,Count_Giant,Total_area_Giant,Avg_area_Giant,Small.Giant_ratio,Giant.Small_ratio,Percent_Small_Cells,Total_area,Small_Giant_area_ratio,Percent_area_small,Percent_area_giant
Segmented_GiantCells_pAR254-Col-T1#5-10X-1A_Maximumintensityprojection.tif,pAR254,5,1A,955,31824,33.324,37,5828,157.514,25.81081081,0.038743455,0.962701613,37652,5.460535347,0.845214066,0.154785934
Segmented_GiantCells_pAR254-Col-T1#6-10X-1A_Maximumintensityprojection.tif,pAR254,6,1A,419,13966,33.332,34,5825,171.324,12.32352941,0.081145585,0.924944812,19791,2.397596567,0.705674296,0.294325704
Segmented_GiantCells_pAR254-Col-T1#7-10X-1A_Maximumintensityprojection.tif,pAR254,7,1A,213,6679,31.357,9,1552,172.444,23.66666667,0.042253521,0.959459459,8231,4.303479381,0.811444539,0.188555461
Segmented_GiantCells_pAR254-Col-T1#8-10X-2A_Maximumintensityprojection.tif,pAR254,8,2A,674,22263,33.031,34,5413,159.206,19.82352941,0.050445104,0.951977401,27676,4.112876409,0.804415378,0.195584622
Segmented_GiantCells_pAR254-Col-T1#9-10X-2A_Maximumintensityprojection.tif,pAR254,9,2A,497,13727,27.62,25,3943,157.72,19.88,0.050301811,0.95210728,17670,3.481359371,0.776853424,0.223146576
Segmented_GiantCells_pAR257-Col-T1#1-10X-1A_Maximumintensityprojection.tif,pAR257,1,1A,113,2127,18.823,36,4183,116.194,3.138888889,0.318584071,0.758389262,6310,0.508486732,0.337083994,0.662916006
Segmented_GiantCells_pAR257-Col-T1#10-10X-1A_Maximumintensityprojection.tif,pAR257,10,1A,509,18444,36.236,42,6383,151.976,12.11904762,0.082514735,0.923774955,24827,2.889550368,0.742900874,0.257099126
Segmented_GiantCells_pAR257-Col-T1#11-10X-1A_Maximumintensityprojection.tif,pAR257,11,1A,390,9909,25.408,16,2276,142.25,24.375,0.041025641,0.960591133,12185,4.353690685,0.813212967,0.186787033
Segmented_GiantCells_pAR257-Col-T1#12-10X-1A_Maximumintensityprojection.tif,pAR257,12,1A,110,3105,28.227,17,2519,148.176,6.470588235,0.154545455,0.866141732,5624,1.232631997,0.552098151,0.447901849
Segmented_GiantCells_pAR257-Col-T1#13-10X-1A_Maximumintensityprojection.tif,pAR257,13,1A,242,5214,21.545,30,3849,128.3,8.066666667,0.123966942,0.889705882,9063,1.354637568,0.57530619,0.42469381
Segmented_GiantCells_pAR257-Col-T1#14-10X-1A_Maximumintensityprojection.tif,pAR257,14,1A,75,1463,19.507,5,733,146.6,15,0.066666667,0.9375,2196,1.995907231,0.666211293,0.333788707
Segmented_GiantCells_pAR257-Col-T1#15-10X-1A_Maximumintensityprojection.tif,pAR257,15,1A,94,1574,16.745,26,4080,156.923,3.615384615,0.276595745,0.783333333,5654,0.385784314,0.278386983,0.721613017
