Image_name,Genotype,Plant_number,laser,Cell_type,Count,Total_area,Avg_area
Segmented_SmallCells_pAR261-Col-T1#12-10X-1A_Maximumintensityprojection.tif,pAR261,12,1A,Small,606,21482,35.449
Segmented_SmallCells_pAR261-Col-T1#13-10X-1A_Maximumintensityprojection.tif,pAR261,13,1A,Small,314,11405,36.322
Segmented_SmallCells_pAR261-Col-T1#14-10X-1A_Maximumintensityprojection.tif,pAR261,14,1A,Small,415,12332,29.716
Segmented_SmallCells_pAR261-Col-T1#15-10X-1A_Maximumintensityprojection.tif,pAR261,15,1A,Small,598,18846,31.515
Segmented_SmallCells_pAR261-Col-T1#16-10X-1A_Maximumintensityprojection.tif,pAR261,16,1A,Small,438,9694,22.132
Segmented_SmallCells_pAR261-Col-T1#17-10X-1A_Maximumintensityprojection.tif,pAR261,17,1A,Small,805,26698,33.165
Segmented_SmallCells_pAR261-Col-T1#18-10X-1A_Maximumintensityprojection.tif,pAR261,18,1A,Small,725,22990,31.710
Segmented_SmallCells_pAR261-Col-T1#19-10X-1A_Maximumintensityprojection.tif,pAR261,19,1A,Small,299,8712,29.137
Segmented_SmallCells_pAR261-Col-T1#2-10X-1A_Maximumintensityprojection.tif,pAR261,2,1A,Small,712,21610,30.351
Segmented_SmallCells_pAR261-Col-T1#20-10X-1A_Maximumintensityprojection.tif,pAR261,20,1A,Small,649,19163,29.527
Segmented_SmallCells_pAR261-Col-T1#21-10X-1A_Maximumintensityprojection.tif,pAR261,21,1A,Small,713,27834,39.038
Segmented_SmallCells_pAR261-Col-T1#22-10X-1A_Maximumintensityprojection.tif,pAR261,22,1A,Small,470,14191,30.194
Segmented_SmallCells_pAR261-Col-T1#23-10X-1A_Maximumintensityprojection.tif,pAR261,23,1A,Small,718,22672,31.577
Segmented_SmallCells_pAR261-Col-T1#24-10X-1A_Maximumintensityprojection.tif,pAR261,24,1A,Small,483,16448,34.054
Segmented_SmallCells_pAR261-Col-T1#25-10X-1A_Maximumintensityprojection.tif,pAR261,25,1A,Small,698,24682,35.361
