Image_name,Genotype,Plant_number,Cell_type,Count,Total_area,Avg_area,Percent_area,Mean,laser
Segmented_GiantCells_pAR254-Col-T1#14-10X-1A_Maximumintensityprojection.tif,pAR254,14,Giant,31,4059,130.935,,,1A
Segmented_GiantCells_pAR254-Col-T1#15-10X-1A_Maximumintensityprojection.tif,pAR254,15,Giant,20,2989,149.45,,,1A
Segmented_GiantCells_pAR254-Col-T1#16-10X-1A_Maximumintensityprojection.tif,pAR254,16,Giant,20,3216,160.8,,,1A
Segmented_GiantCells_pAR254-Col-T1#17-10X-1A_Maximumintensityprojection.tif,pAR254,17,Giant,34,5602,164.765,,,1A
Segmented_GiantCells_pAR254-Col-T1#18-10X-1A_Maximumintensityprojection.tif,pAR254,18,Giant,25,3612,144.48,,,1A
Segmented_GiantCells_pAR254-Col-T1#19-10X-1A_Maximumintensityprojection.tif,pAR254,19,Giant,31,4990,160.968,,,1A
Segmented_GiantCells_pAR254-Col-T1#2-10X-1A_Maximumintensityprojection.tif,pAR254,2,Giant,35,5765,164.714,,,1A
Segmented_GiantCells_pAR254-Col-T1#20-10X-1A_Maximumintensityprojection.tif,pAR254,20,Giant,20,2452,122.6,,,1A
Segmented_GiantCells_pAR254-Col-T1#21-10X-1A_Maximumintensityprojection.tif,pAR254,21,Giant,22,3652,166,,,1A
Segmented_GiantCells_pAR254-Col-T1#22-10X-1A_Maximumintensityprojection.tif,pAR254,22,Giant,24,4472,186.333,,,1A
Segmented_GiantCells_pAR254-Col-T1#23-10X-1A_Maximumintensityprojection.tif,pAR254,23,Giant,31,4997,161.194,,,1A
Segmented_GiantCells_pAR254-Col-T1#24-10X-1A_Maximumintensityprojection.tif,pAR254,24,Giant,23,3639,158.217,,,1A
Segmented_GiantCells_pAR254-Col-T1#3-10X-1A_Maximumintensityprojection.tif,pAR254,3,Giant,30,4789,159.633,,,1A
Segmented_GiantCells_pAR254-Col-T1#4-10X-1A_Maximumintensityprojection.tif,pAR254,4,Giant,30,5962,198.733,,,1A
Segmented_GiantCells_pAR254-Col-T1#5-10X-1A_Maximumintensityprojection.tif,pAR254,5,Giant,37,5828,157.514,,,1A
Segmented_GiantCells_pAR254-Col-T1#6-10X-1A_Maximumintensityprojection.tif,pAR254,6,Giant,34,5825,171.324,,,1A
Segmented_GiantCells_pAR254-Col-T1#7-10X-1A_Maximumintensityprojection.tif,pAR254,7,Giant,9,1552,172.444,,,1A
Segmented_GiantCells_pAR254-Col-T1#8-10X-2A_Maximumintensityprojection.tif,pAR254,8,Giant,34,5413,159.206,,,2A
Segmented_GiantCells_pAR254-Col-T1#9-10X-2A_Maximumintensityprojection.tif,pAR254,9,Giant,25,3943,157.72,,,2A
Segmented_SmallCells_pAR254-Col-T1#1-10X-1A_Maximumintensityprojection.tif,pAR254,1,Small,854,39541,46.301,,,1A
Segmented_SmallCells_pAR254-Col-T1#10-10X-1A_Maximumintensityprojection.tif,pAR254,10,Small,392,11502,29.342,,,1A
