Name    Cell_number Total_area  Avg_area
Segmented_GiantCells_pAR261-Col-T1#18-10X-1A_Maximumintensityprojection.tif	23	3368	146.435	0.244	0
Segmented_GiantCells_pAR261-Col-T1#19-10X-1A_Maximumintensityprojection.tif	15	2619	174.600	0.190	0
Segmented_GiantCells_pAR261-Col-T1#2-10X-1A_Maximumintensityprojection.tif	25	3265	130.600	0.237	0
Segmented_GiantCells_pAR261-Col-T1#20-10X-1A_Maximumintensityprojection.tif	23	3238	140.783	0.235	0
Segmented_GiantCells_pAR261-Col-T1#21-10X-1A_Maximumintensityprojection.tif	32	4529	141.531	0.328	0
Segmented_GiantCells_pAR261-Col-T1#22-10X-1A_Maximumintensityprojection.tif	21	3128	148.952	0.227	0
Segmented_GiantCells_pAR261-Col-T1#23-10X-1A_Maximumintensityprojection.tif	27	3739	138.481	0.271	0
Segmented_GiantCells_pAR261-Col-T1#24-10X-1A_Maximumintensityprojection.tif	20	3025	151.250	0.219	0
Segmented_GiantCells_pAR261-Col-T1#25-10X-1A_Maximumintensityprojection.tif	33	4983	151.000	0.361	0
Segmented_GiantCells_pAR261-Col-T1#26-10X-1A_Maximumintensityprojection.tif	26	4041	155.423	0.293	0
Segmented_GiantCells_pAR261-Col-T1#3-10X-1A_Maximumintensityprojection.tif	17	2147	126.294	0.156	0
Segmented_GiantCells_pAR261-Col-T1#4-10X-1A_Maximumintensityprojection.tif	34	4879	143.500	0.354	0
Segmented_GiantCells_pAR261-Col-T1#5-10X-1A_Maximumintensityprojection.tif	23	3066	133.304	0.222	0
Segmented_GiantCells_pAR261-Col-T1#6-10X-1A_Maximumintensityprojection.tif	11	1727	157.000	0.125	0
Segmented_GiantCells_pAR261-Col-T1#8-10X-1A_Maximumintensityprojection.tif	34	4217	124.029	0.306	0
Segmented_SmallCells_pAR261-Col-T1#1-10X-1A_Maximumintensityprojection.tif	723	22315	30.864	1.618	0
Segmented_SmallCells_pAR261-Col-T1#10-10X-1A_Maximumintensityprojection.tif	437	16111	36.867	1.168	0
Segmented_SmallCells_pAR261-Col-T1#11-10X-1A_Maximumintensityprojection.tif	538	19708	36.632	1.429	0
Segmented_SmallCells_pAR261-Col-T1#12-10X-1A_Maximumintensityprojection.tif	606	21482	35.449	1.558	0
Segmented_SmallCells_pAR261-Col-T1#13-10X-1A_Maximumintensityprojection.tif	314	11405	36.322	0.827	0
Segmented_SmallCells_pAR261-Col-T1#14-10X-1A_Maximumintensityprojection.tif	415	12332	29.716	0.894	0
Segmented_SmallCells_pAR261-Col-T1#15-10X-1A_Maximumintensityprojection.tif	598	18846	31.515	1.367	0
